date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,30
2020-03-22 00:00:00,326
2020-03-29 00:00:00,1297
2020-04-05 00:00:00,2390
2020-04-12 00:00:00,2561
2020-04-19 00:00:00,4998
2020-04-26 00:00:00,4370
2020-05-03 00:00:00,3942
2020-05-10 00:00:00,4167
2020-05-17 00:00:00,3842
2020-05-24 00:00:00,3988
2020-05-31 00:00:00,3602
2020-06-07 00:00:00,2963
2020-06-14 00:00:00,2672
2020-06-21 00:00:00,3660
2020-06-28 00:00:00,5501
2020-07-05 00:00:00,6841
2020-07-12 00:00:00,8442
2020-07-19 00:00:00,9340
2020-07-26 00:00:00,9141
2020-08-02 00:00:00,8958
2020-08-09 00:00:00,7817
2020-08-16 00:00:00,7439
2020-08-23 00:00:00,6515
2020-08-30 00:00:00,7458
2020-09-06 00:00:00,8298
2020-09-13 00:00:00,6847
2020-09-20 00:00:00,6904
2020-09-27 00:00:00,6500
2020-10-04 00:00:00,8098
2020-10-11 00:00:00,9842
2020-10-18 00:00:00,13038
2020-10-25 00:00:00,16328
2020-11-01 00:00:00,20885
2020-11-08 00:00:00,31268
2020-11-15 00:00:00,47828
2020-11-22 00:00:00,53323
2020-11-29 00:00:00,63013
2020-12-06 00:00:00,60592
2020-12-13 00:00:00,87703
2020-12-20 00:00:00,60079
2020-12-27 00:00:00,47719
2021-01-03 00:00:00,50956
2021-01-10 00:00:00,55584
2021-01-17 00:00:00,49689
2021-01-24 00:00:00,37568
2021-01-31 00:00:00,31470
2021-02-07 00:00:00,24425
2021-02-14 00:00:00,19133
2021-02-21 00:00:00,14417
2021-02-28 00:00:00,13655
2021-03-07 00:00:00,11049
2021-03-14 00:00:00,10720
2021-03-21 00:00:00,10559
2021-03-28 00:00:00,11872
2021-04-04 00:00:00,12389
2021-04-11 00:00:00,15444
2021-04-18 00:00:00,13720
2021-04-25 00:00:00,11131
2021-05-02 00:00:00,10698
2021-05-09 00:00:00,8605
2021-05-16 00:00:00,7285
2021-05-23 00:00:00,6406
2021-05-30 00:00:00,4634
2021-06-06 00:00:00,2714
2021-06-13 00:00:00,2399
2021-06-20 00:00:00,1855
2021-06-27 00:00:00,1798
2021-07-04 00:00:00,1589
2021-07-11 00:00:00,1978
2021-07-18 00:00:00,2842
2021-07-25 00:00:00,4995
2021-08-01 00:00:00,8030
2021-08-08 00:00:00,12196
2021-08-15 00:00:00,17429
2021-08-22 00:00:00,21227
2021-08-29 00:00:00,30909
2021-09-05 00:00:00,41303
2021-09-12 00:00:00,45427
2021-09-19 00:00:00,48580
2021-09-26 00:00:00,42810
2021-10-03 00:00:00,39730
2021-10-10 00:00:00,37586
2021-10-17 00:00:00,29344
2021-10-24 00:00:00,25169
2021-10-31 00:00:00,23483
2021-11-07 00:00:00,26870
2021-11-14 00:00:00,32291
2021-11-21 00:00:00,38379
2021-11-28 00:00:00,34874
2021-12-05 00:00:00,53262
2021-12-12 00:00:00,50408
2021-12-19 00:00:00,65729
2021-12-26 00:00:00,84768
2022-01-02 00:00:00,121813
2022-01-09 00:00:00,135507
2022-01-16 00:00:00,194879
2022-01-23 00:00:00,122068
2022-01-30 00:00:00,70070
2022-02-06 00:00:00,33880
2022-02-13 00:00:00,22211
2022-02-20 00:00:00,12492
2022-02-27 00:00:00,8383
2022-03-06 00:00:00,6287
2022-03-13 00:00:00,4337
2022-03-20 00:00:00,2195
2022-03-27 00:00:00,3668
2022-04-03 00:00:00,3103
2022-04-10 00:00:00,3828
2022-04-17 00:00:00,4808
2022-04-24 00:00:00,6890
2022-05-01 00:00:00,8731
2022-05-08 00:00:00,11013
2022-05-15 00:00:00,15970
2022-05-22 00:00:00,19536
2022-05-29 00:00:00,19546
2022-06-05 00:00:00,17530
2022-06-12 00:00:00,18247
2022-06-19 00:00:00,16169
2022-06-26 00:00:00,16159
2022-07-03 00:00:00,17225
2022-07-10 00:00:00,18838
2022-07-17 00:00:00,24465
2022-07-24 00:00:00,26610
2022-07-31 00:00:00,29876
2022-08-07 00:00:00,27785
2022-08-14 00:00:00,26016
2022-08-21 00:00:00,24067
2022-08-28 00:00:00,23436
2022-09-04 00:00:00,25280
2022-09-11 00:00:00,21731
2022-09-18 00:00:00,20552
2022-09-25 00:00:00,14536
2022-10-02 00:00:00,12101
2022-10-09 00:00:00,9997
2022-10-16 00:00:00,8535
2022-10-23 00:00:00,11097
2022-10-30 00:00:00,11663
2022-11-06 00:00:00,12262
2022-11-13 00:00:00,10865
2022-11-20 00:00:00,10170
2022-11-27 00:00:00,9424
2022-12-04 00:00:00,16091
2022-12-11 00:00:00,16061
2022-12-18 00:00:00,16719
2022-12-25 00:00:00,17891
2023-01-01 00:00:00,13047
2023-01-08 00:00:00,13895
2023-01-15 00:00:00,10188
2023-01-22 00:00:00,7961
2023-01-29 00:00:00,8155
2023-02-05 00:00:00,8260
2023-02-12 00:00:00,8833
2023-02-19 00:00:00,8999
2023-02-26 00:00:00,9136
2023-03-05 00:00:00,9325
