date,ILITOTAL
4/18/2020 0:00,5217
4/25/2020 0:00,5553
5/2/2020 0:00,5109
5/9/2020 0:00,4257
5/16/2020 0:00,4624
5/23/2020 0:00,5030
5/30/2020 0:00,4089
6/6/2020 0:00,5028
6/13/2020 0:00,5445
6/20/2020 0:00,7005
6/27/2020 0:00,11176
7/4/2020 0:00,18334
7/11/2020 0:00,21082
7/18/2020 0:00,25479
7/25/2020 0:00,25308
8/1/2020 0:00,24824
8/8/2020 0:00,23415
8/15/2020 0:00,21741
8/22/2020 0:00,17054
8/29/2020 0:00,15536
9/5/2020 0:00,13790
9/12/2020 0:00,11357
9/19/2020 0:00,12116
9/26/2020 0:00,8852
10/3/2020 0:00,8296
10/10/2020 0:00,8100
10/17/2020 0:00,9115
10/24/2020 0:00,10221
10/31/2020 0:00,11185
11/7/2020 0:00,44247
11/14/2020 0:00,17868
11/21/2020 0:00,23899
11/28/2020 0:00,20760
12/5/2020 0:00,31807
12/12/2020 0:00,38669
12/19/2020 0:00,44260
12/26/2020 0:00,46488
1/2/2021 0:00,56334
1/9/2021 0:00,63730
1/16/2021 0:00,60811
1/23/2021 0:00,52495
1/30/2021 0:00,43700
2/6/2021 0:00,31544
2/13/2021 0:00,25406
2/20/2021 0:00,20939
2/27/2021 0:00,20440
3/6/2021 0:00,17591
3/13/2021 0:00,11189
3/20/2021 0:00,11167
3/27/2021 0:00,10296
4/3/2021 0:00,9250
4/10/2021 0:00,9020
4/17/2021 0:00,10600
4/24/2021 0:00,9552
5/1/2021 0:00,8635
5/8/2021 0:00,7843
5/15/2021 0:00,5742
5/22/2021 0:00,4542
5/29/2021 0:00,3729
6/5/2021 0:00,2511
6/12/2021 0:00,2613
6/19/2021 0:00,2378
6/26/2021 0:00,2218
7/3/2021 0:00,2463
7/10/2021 0:00,3870
7/17/2021 0:00,6580
7/24/2021 0:00,11729
7/31/2021 0:00,21744
8/7/2021 0:00,31990
8/14/2021 0:00,41176
8/21/2021 0:00,54469
8/28/2021 0:00,62842
9/4/2021 0:00,63788
9/11/2021 0:00,50560
9/18/2021 0:00,40840
9/25/2021 0:00,32422
10/2/2021 0:00,24527
10/9/2021 0:00,20604
10/16/2021 0:00,13032
10/23/2021 0:00,9700
10/30/2021 0:00,8694
11/6/2021 0:00,6943
11/13/2021 0:00,6229
11/20/2021 0:00,7384
11/27/2021 0:00,4842
12/4/2021 0:00,9384
12/11/2021 0:00,9871
12/18/2021 0:00,12928
12/25/2021 0:00,41926
1/1/2022 0:00,106279
1/8/2022 0:00,89063
1/15/2022 0:00,184377
1/22/2022 0:00,116356
1/29/2022 0:00,116843
2/5/2022 0:00,56607
2/12/2022 0:00,31006
2/19/2022 0:00,17777
2/26/2022 0:00,10755
3/5/2022 0:00,7721
3/12/2022 0:00,6132
3/19/2022 0:00,6002
3/26/2022 0:00,3218
4/2/2022 0:00,14523
4/9/2022 0:00,2823
4/16/2022 0:00,3552
4/23/2022 0:00,2526
4/30/2022 0:00,5979
5/7/2022 0:00,6525
5/14/2022 0:00,9254
5/21/2022 0:00,10795
5/28/2022 0:00,14331
6/4/2022 0:00,15060
6/11/2022 0:00,17753
6/18/2022 0:00,19315
6/25/2022 0:00,18425
7/2/2022 0:00,20971
7/9/2022 0:00,19989
7/16/2022 0:00,26603
7/23/2022 0:00,27231
7/30/2022 0:00,29524
8/6/2022 0:00,27665
8/13/2022 0:00,24937
8/20/2022 0:00,25766
8/27/2022 0:00,23423
9/3/2022 0:00,17923
9/10/2022 0:00,12689
9/17/2022 0:00,9683
9/24/2022 0:00,7353
10/1/2022 0:00,5046
10/8/2022 0:00,4360
10/15/2022 0:00,3622
10/22/2022 0:00,3919
10/29/2022 0:00,3362
11/5/2022 0:00,4069
11/12/2022 0:00,4702
11/19/2022 0:00,3795
11/26/2022 0:00,4051
12/3/2022 0:00,6239
12/10/2022 0:00,9822
12/17/2022 0:00,9891
12/24/2022 0:00,11387
12/31/2022 0:00,10574
1/7/2023 0:00,13798
1/14/2023 0:00,12851
1/21/2023 0:00,8324
1/28/2023 0:00,7690
2/4/2023 0:00,8018
2/11/2023 0:00,6949
2/18/2023 0:00,6425
2/25/2023 0:00,12237
3/4/2023 0:00,3905
3/11/2023 0:00,2818
