date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,people_vaccinated,people_fully_vaccinated
2/29/2020,34,1,0,0,0,0,0
3/7/2020,265,15,0,0,6867,0,0
3/14/2020,2627,42,0,0,46013,0,0
3/21/2020,20895,224,0,0,344810,0,0
3/28/2020,82109,1337,0,0,760008,0,0
4/4/2020,164438,5753,0,0,1008036,0,0
4/11/2020,218050,13024,0,0,1186777,0,0
4/18/2020,199013,15803,0,0,1111062,0,0
4/25/2020,200703,15132,0,0,1464945,0,0
5/2/2020,200132,13785,0,0,1890326,0,0
5/9/2020,186495,13053,0,0,2239981,0,0
5/16/2020,171237,10239,0,0,2703744,0,0
5/23/2020,166990,8297,0,0,2897522,0,0
5/30/2020,148658,7569,0,0,3229596,0,0
6/6/2020,149030,6162,0,0,3574758,0,0
6/13/2020,148034,5511,0,0,3808428,0,0
6/20/2020,175249,4435,0,0,4290259,0,0
6/27/2020,244843,6130,0,0,4713566,0,0
7/4/2020,328340,4347,0,0,5254262,0,0
7/11/2020,383992,5375,0,0,6007438,0,0
7/18/2020,457894,6549,40705,152737,6596245,0,0
7/25/2020,471701,7523,87448,313752,6815014,0,0
8/1/2020,436218,8061,98888,327394,6308248,0,0
8/8/2020,381587,7851,97485,314020,6075323,0,0
8/15/2020,368907,7674,89705,286937,6061026,0,0
8/22/2020,324868,6717,80552,262962,5908890,0,0
8/29/2020,295581,6315,71900,233864,5961302,0,0
9/5/2020,290882,5836,65443,213435,6063336,0,0
9/12/2020,252456,5018,61170,196629,5661575,0,0
9/19/2020,276932,5236,56585,183823,6774035,0,0
9/26/2020,303286,4801,54858,183432,6885584,0,0
10/3/2020,297028,4558,56021,190321,6847985,0,0
10/10/2020,326390,4730,59736,210572,8036308,0,0
10/17/2020,377349,4713,65123,235010,7617740,0,0
10/24/2020,436177,5684,72525,264237,8587663,0,0
10/31/2020,544216,6107,80626,301371,8805496,0,0
11/7/2020,754275,6852,90700,351943,9747572,0,0
11/14/2020,961193,8706,106066,437507,10926635,0,0
11/21/2020,1159103,10132,127514,533384,12783138,0,0
11/28/2020,1191736,12251,145072,603412,11664329,0,0
12/5/2020,1221160,13866,159587,675308,12521963,0,0
12/12/2020,1446449,17119,170153,722416,12839573,0,0
12/19/2020,1527892,19105,180063,775680,12558263,2947449,78668
12/26/2020,1434655,19045,186153,807975,11042299,15950067,146969
1/2/2021,1313791,18838,192894,854068,10642038,33351492,299839
1/9/2021,1603592,20835,198451,894803,12913804,57970908,3571228
1/16/2021,1644742,23639,199796,886002,12602016,93185246,13939702
1/23/2021,1313760,22200,188191,811801,11902464,135266771,23917818
1/30/2021,1093806,22662,168989,709240,11353415,183436179,41314739
2/6/2021,896661,19967,148992,604151,10632854,231672584,67612313
2/13/2021,697968,18176,127860,505607,9186638,280191525,103487162
2/20/2021,497340,17171,107702,418707,8050973,322660739,141495098
2/27/2021,466053,13716,89985,351186,9265517,362550406,185119783
3/6/2021,429919,10488,75606,291358,9075141,426504616,232701000
3/13/2021,383872,8992,65974,255701,8708991,505370862,282347728
3/20/2021,381751,6677,60164,239638,8485327,589279709,334007166
3/27/2021,405006,6147,58209,238330,8627033,675140124,385568059
4/3/2021,454348,5552,59349,246849,8527156,762010095,455122705
4/10/2021,449981,4881,62960,260953,8729060,852537946,536990019
4/17/2021,472558,4932,66371,273292,8946936,940387116,625400678
4/24/2021,414750,4693,68413,275044,8767932,1003730973,702444033
5/1/2021,345515,4522,66223,254119,8391325,1055842212,778544622
5/8/2021,302994,4451,62362,229794,7721152,1094865542,852542228
5/15/2021,242875,4078,56066,200516,7101350,1125902598,917160425
5/22/2021,188859,3676,48765,171151,6356530,1167336808,971377218
5/29/2021,150897,3480,42664,149489,5596928,1201626585,1012796319
6/5/2021,105300,2792,36816,125382,4973872,1222785556,1041668209
6/12/2021,104186,2807,31317,105820,4874985,1241334244,1077585433
6/19/2021,82637,1893,27153,93533,4485483,1257206603,1109047413
6/26/2021,84627,1961,25630,87282,4313033,1271402600,1130187659
7/3/2021,95118,1825,25885,89295,3957492,1284676919,1146548388
7/10/2021,275821,1497,28880,101385,3817151,1295913617,1159143089
7/17/2021,207900,1877,37100,133399,4450515,1308383366,1171722268
7/24/2021,331646,2040,51715,189949,5338890,1323261602,1183291490
7/31/2021,512206,2816,73176,281092,6346958,1342891783,1194048637
8/7/2021,713653,4140,101952,396986,7851722,1365683550,1205234507
8/14/2021,874081,5279,131782,518721,9016756,1389242571,1217768462
8/21/2021,998812,7695,157832,611343,9769651,1411090549,1233284872
8/28/2021,1080178,9902,174805,666522,11231677,1431543098,1251515024
9/4/2021,1144310,11573,181182,678866,11666713,1450860549,1270937233
9/11/2021,1032591,11766,180526,666707,10952282,1465947478,1287544890
9/18/2021,1051053,13543,174048,623375,11845991,1480989791,1305249834
9/25/2021,878055,13258,160625,561806,11637412,1493579583,1321737298
10/2/2021,767745,13246,142097,492152,11114292,1505830433,1335713382
10/9/2021,694157,11642,125482,433248,10866076,1517190934,1348407732
10/16/2021,598321,10677,121073,387743,10232083,1527305649,1359247691
10/23/2021,520086,11168,108980,345390,10134391,1536759375,1368753129
10/30/2021,518612,9086,96705,313792,9617934,1548100221,1377677275
11/6/2021,508801,7583,82040,291887,9716739,1560914294,1386263434
11/13/2021,524039,7409,79034,290081,10154160,1581414938,1394138592
11/20/2021,686053,10348,81462,308611,10585264,1605198880,1401387172
11/27/2021,624469,6789,87020,332366,7631751,1624987668,1408200892
12/4/2021,681197,7226,95302,370484,11407651,1639922808,1420916782
12/11/2021,850963,8256,103830,414230,11188864,1657644366,1438914874
12/18/2021,877919,9002,111154,439475,11840903,1673912697,1452811789
12/25/2021,1332732,11667,113375,453366,12399341,1690550767,1462240769
1/1/2022,2481523,9170,124172,589877,12986666,1703836872,1469746592
1/8/2022,4301911,10594,150651,840133,18054466,1717411533,1477769308
1/15/2022,5605477,13844,175779,1027520,17335254,1732567948,1486787572
1/22/2022,5164815,15510,182759,1057383,15687763,1744775431,1494114782
1/29/2022,4042416,18599,173397,972350,11901435,1754363683,1501377454
2/5/2022,2430146,18833,152236,809553,9877998,1761759275,1508723175
2/12/2022,1348693,18082,122928,624401,8857494,1767673329,1515445735
2/19/2022,759663,15956,91945,455725,8491959,1772614523,1521082632
2/26/2022,487932,13064,66742,326453,6849884,1776755554,1525668959
3/5/2022,362435,10400,47106,233724,6789352,1780181668,1529335211
3/12/2022,241606,8738,33064,167349,6146471,1782901711,1532242901
3/19/2022,214678,6147,23880,124623,6302642,1785273311,1534709728
3/26/2022,195759,5187,18164,98432,5977630,1787587123,1536843927
4/2/2022,195785,4346,14034,80372,5621348,1789951723,1538938131
4/9/2022,185984,3180,11971,72287,5536369,1792808438,1541677717
4/16/2022,246185,3468,10685,70686,4870841,1795598026,1544407873
4/23/2022,276277,2645,10240,75702,4508344,1798116976,1546793248
4/30/2022,366692,2093,10914,87274,5865131,1800451766,1549033166
5/7/2022,450582,2646,11888,100602,5579522,1802647624,1551131477
5/14/2022,582734,2020,12989,117080,5969381,1804739229,1553087935
